Category,Flagged Type,Flagged ID,Comments,Created At
Bad GPS data,Activity,12729164088,"","Oct 23, 2024, 9:52:23 PM"
Bad GPS data,Activity,12769015869,"","Oct 28, 2024, 11:01:40 PM"
